Franchise,G,W,L,W/L%,Plyfs,Champ
Atlanta Hawks,6087,3003,3083,.493,49,1
Boston Celtics,6263,3739,2524,.597,62,18
Brooklyn Nets,4761,2071,2690,.435,31,2
Charlotte Hornets,2863,1227,1636,.429,10,0
Chicago Bulls,4829,2449,2380,.507,36,6
Cleveland Cavaliers,4502,2137,2365,.475,25,1
Dallas Mavericks,3692,1858,1834,.503,25,1
Denver Nuggets,4763,2458,2305,.516,40,1
Detroit Pistons,6146,2919,3227,.475,43,3
Golden State Warriors,6252,3049,3202,.488,38,7
Houston Rockets,4754,2462,2292,.518,35,2
Indiana Pacers,4761,2422,2339,.509,38,3
Los Angeles Clippers,4509,1927,2582,.427,19,0
Los Angeles Lakers,6153,3642,2511,.592,65,17
Memphis Grizzlies,2459,1069,1390,.435,14,0
Miami Heat,3035,1596,1439,.526,26,3
Milwaukee Bucks,4673,2464,2209,.527,37,2
Minnesota Timberwolves,2943,1237,1706,.420,13,0
New Orleans Pelicans,1918,874,1044,.456,9,0
New York Knicks,6255,3068,3187,.490,46,2
Oklahoma City Thunder,4755,2590,2165,.545,34,2
Orlando Magic,2951,1394,1557,.472,18,0
Philadelphia 76ers,6090,3161,2929,.519,54,3
Phoenix Suns,4674,2504,2170,.536,33,0
Portland Trail Blazers,4511,2360,2151,.523,37,1
Sacramento Kings,6155,2805,3350,.456,30,1
San Antonio Spurs,4760,2766,1994,.581,47,5
Toronto Raptors,2458,1163,1295,.473,13,1
Utah Jazz,4181,2214,1967,.530,31,0
Washington Wizards,5235,2306,2929,.440,30,1
